Id,SalePrice
1461,173264.56
1462,218325.17
1463,253887.23
1464,268890.0
1465,198432.95
1466,217863.22
1467,228633.12
1468,248895.66
1469,265032.72
1470,143777.05
1471,225945.55
1472,127811.63
1473,122836.5
1474,185718.64
1475,134526.89
1476,522599.28
1477,408370.88
1478,433826.38
1479,457625.9
1480,542963.5
1481,462887.38
1482,342324.6
1483,257748.42
1484,198125.86
1485,254823.33
1486,260584.56
1487,435962.75
1488,346729.28
1489,326123.6
1490,291648.9
1491,257172.16
1492,124813.734
1493,223278.27
1494,398677.8
1495,345607.8
1496,233363.39
1497,189211.2
1498,175501.83
1499,176898.72
1500,151822.34
1501,169224.75
1502,163882.53
1503,449481.38
1504,326290.97
1505,324924.97
1506,227515.78
1507,240427.88
1508,202622.25
1509,186032.23
1510,180597.56
1511,179516.78
1512,192866.89
1513,161525.12
1514,168957.7
1515,215696.64
1516,180023.39
1517,219090.23
1518,179431.72
1519,319643.8
1520,172665.3
1521,190884.8
1522,235823.02
1523,137672.72
1524,174432.25
1525,169733.72
1526,152161.67
1527,136694.39
1528,176115.66
1529,201190.62
1530,247513.53
1531,106907.29
1532,147957.58
1533,186869.55
1534,163946.78
1535,215058.88
1536,145344.83
1537,102706.29
1538,226407.36
1539,204409.0
1540,80665.85
1541,187131.0
1542,119860.16
1543,276205.3
1544,109706.695
1545,146967.81
1546,170382.44
1547,157684.12
1548,162186.86
1549,157683.52
1550,155816.88
1551,143076.6
1552,147158.27
1553,143880.2
1554,106404.82
1555,206675.97
1556,119066.75
1557,140603.25
1558,129870.93
1559,80734.65
1560,154022.12
1561,163534.06
1562,179250.08
1563,160656.52
1564,212544.44
1565,181018.64
1566,284826.28
1567,111842.305
1568,255617.53
1569,160784.97
1570,212358.84
1571,147017.58
1572,204577.89
1573,317620.34
1574,182277.34
1575,315175.38
1576,247510.0
1577,304648.7
1578,189506.28
1579,228103.89
1580,268950.0
1581,221167.06
1582,175417.0
1583,390041.25
1584,311552.47
1585,166740.08
1586,122589.336
1587,120818.664
1588,193312.16
1589,137212.0
1590,178118.75
1591,143758.0
1592,107713.414
1593,181472.03
1594,128274.06
1595,119885.08
1596,325978.38
1597,224087.19
1598,221055.94
1599,183984.16
1600,191664.8
1601,113424.62
1602,131802.17
1603,132806.02
1604,290932.2
1605,346585.12
1606,248799.08
1607,208810.48
1608,343503.2
1609,331616.78
1610,202860.45
1611,217254.48
1612,246599.6
1613,269956.8
1614,156830.48
1615,117790.97
1616,107823.69
1617,113768.25
1618,193975.69
1619,199555.28
1620,212155.81
1621,186420.11
1622,161943.75
1623,361871.75
1624,241903.75
1625,169375.55
1626,232389.31
1627,269393.34
1628,314594.0
1629,260749.14
1630,357358.53
1631,317690.94
1632,327134.1
1633,261146.81
1634,233584.27
1635,246245.44
1636,225205.08
1637,235115.19
1638,228276.89
1639,263826.78
1640,278300.47
1641,245459.3
1642,287222.06
1643,316329.28
1644,298222.53
1645,257235.69
1646,216677.19
1647,259140.25
1648,177584.64
1649,190277.92
1650,145916.47
1651,173442.61
1652,134219.47
1653,137710.28
1654,179006.48
1655,223323.42
1656,185733.53
1657,184775.44
1658,168370.12
1659,133106.02
1660,231730.25
1661,558846.3
1662,495796.94
1663,509361.16
1664,519712.16
1665,471633.2
1666,449208.4
1667,442220.88
1668,443875.88
1669,407659.2
1670,489100.5
1671,336956.6
1672,496271.4
1673,420257.66
1674,365159.25
1675,284191.12
1676,211591.47
1677,329393.4
1678,558315.75
1679,515458.25
1680,437255.62
1681,397706.06
1682,446258.75
1683,225560.17
1684,259251.98
1685,236154.06
1686,202027.38
1687,262909.53
1688,265772.78
1689,281265.66
1690,270922.44
1691,269125.25
1692,360121.8
1693,228768.34
1694,251497.88
1695,253601.69
1696,328140.84
1697,254115.67
1698,383253.0
1699,402874.44
1700,307066.2
1701,320012.9
1702,356534.38
1703,371295.44
1704,397532.0
1705,357852.7
1706,430287.38
1707,310667.44
1708,306745.12
1709,440081.53
1710,340259.72
1711,307470.6
1712,347905.12
1713,350168.28
1714,290988.78
1715,264671.78
1716,299757.44
1717,266111.88
1718,219193.89
1719,263162.62
1720,359438.7
1721,271838.88
1722,184737.2
1723,244515.62
1724,321045.78
1725,267744.4
1726,209364.22
1727,206457.89
1728,233516.56
1729,225955.67
1730,200441.05
1731,154311.31
1732,170045.92
1733,161045.23
1734,180012.06
1735,186031.88
1736,149610.6
1737,383418.25
1738,283314.62
1739,213470.75
1740,224838.77
1741,202703.81
1742,164034.2
1743,172261.34
1744,404577.78
1745,278226.44
1746,225281.77
1747,250718.39
1748,246950.03
1749,210588.94
1750,180973.94
1751,262133.4
1752,152544.23
1753,187389.58
1754,228499.5
1755,229018.28
1756,169984.47
1757,163144.02
1758,201300.02
1759,201198.69
1760,223700.5
1761,205767.36
1762,182944.52
1763,216062.48
1764,145674.67
1765,146959.4
1766,225006.94
1767,260325.75
1768,181902.61
1769,273917.38
1770,198827.9
1771,155944.42
1772,178088.02
1773,197678.38
1774,161176.9
